Materials Name,Molecule Name,Can Pass SievingPore Size,Structure Type,Material Category,Sieving Mechanism,Molecular Size,Mechanism,File Name,Test Conditions,Threshold Pressure,Additional Info,,,,,,,,,
ZIF-7,hydrogen,Yes,0.3 nm,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.289 nm,Size exclusion,10.1039-d0cs00552e_1747625553227630_10.1039@D0CS00552E.json,"298 K, 1 bar",Not Applicable,Smaller size enables easy passage.,,,,,,,,
ZIF-7,carbon dioxide,No,0.3 nm,3D cages,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1039-d0cs00552e_1747625553227630_10.1039@D0CS00552E.json,"298 K, 1 bar",Not Applicable,CO2 is excluded due to its larger size.,,,,,,,,
ZIF-7,ethylene,Conditional (see Additional Info),4.35 Å and 4.36 Å (after ion-exchange),Flexible framework,MOFs,Dynamic molecular sieving via gate-opening,0.33 nm,Gate-opening effect,10.1039-d0qm00186d_1747625767486086_10.1039@d0qm00186d.json,Varied pressures,Dependent on gate-opening mechanism,Ethylene can pass through selectively under certain pressure ranges.,,,,,,,,
ZIF-7,ethane,No,4.35 Å and 4.36 Å (after ion-exchange),Flexible framework,MOFs,Dynamic molecular sieving via gate-opening,0.38 nm,Size exclusion,10.1039-d0qm00186d_1747625767486086_10.1039@d0qm00186d.json,Varied pressures,Dependent on gate-opening mechanism,Excluded due to larger molecular size.,,,,,,,,
ZIF-7,hydrogen,No,3.0 Å,Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,2.9 Å,Size exclusion,10.1039-d1qm00234a_1747624587638318_lim2021.json,"Cryogenic temperatures, near-zero coverage",Not Applicable,Pores are too small to allow hydrogen molecules to pass through.,,,,,,,,
ZIF-7,hydrogen,Yes,2.9 Å,Not Reported,MOF membrane,Size exclusion based on small apertures (2.9 Å) in ZIF-7 that allow only H2 to pass through.,2.89 Å,molecular sieving,10.1080-08927022.2012.655732_1747625721576740_hu2012.json,"300 K, driving pressure varied from 20 to 80 MPa",Not Applicable,H2 flux increases with increasing pressure and temperature; H2 molecules exhibit preferential orientation parallel to phenylimidazolate building blocks.,,,,,,,,
ZIF-7,carbon dioxide,No,2.9 Å,Not Reported,MOF membrane,Size exclusion based on small apertures (2.9 Å) in ZIF-7 that allow only H2 to pass through.,Not Reported,size exclusion,10.1080-08927022.2012.655732_1747625721576740_hu2012.json,"300 K, driving pressure varied from 20 to 80 MPa",Not Applicable,CO2 is blocked by small pore apertures of ZIF-7.,,,,,,,,
ZIF-7,carbon monoxide,No,2.9 Å,Not Reported,MOF membrane,Size exclusion based on small apertures (2.9 Å) in ZIF-7 that allow only H2 to pass through.,Not Reported,size exclusion,10.1080-08927022.2012.655732_1747625721576740_hu2012.json,"300 K, driving pressure varied from 20 to 80 MPa",Not Applicable,CO is blocked by small pore apertures of ZIF-7.,,,,,,,,
ZIF-7,methane,No,2.9 Å,Not Reported,MOF membrane,Size exclusion based on small apertures (2.9 Å) in ZIF-7 that allow only H2 to pass through.,Not Reported,size exclusion,10.1080-08927022.2012.655732_1747625721576740_hu2012.json,"300 K, driving pressure varied from 20 to 80 MPa",Not Applicable,CH4 is blocked by small pore apertures of ZIF-7.,,,,,,,,
ZIF-7,water,No,2.9 Å,Not Reported,MOF membrane,Size exclusion based on small apertures (2.9 Å) in ZIF-7 that allow only H2 to pass through.,Not Reported,size exclusion,10.1080-08927022.2012.655732_1747625721576740_hu2012.json,"300 K, driving pressure varied from 20 to 80 MPa",Not Applicable,H2O is blocked by small pore apertures of ZIF-7 but exhibits strong interactions at the membrane interface.,,,,,,,,
ZIF-69,water,Yes,"Larger than ZIF-8, specific size not reported",Not Reported,MOFs,Large pore size enables adsorption of bulkier molecules compared to ZIF-8,2.8 Å,Adsorption into larger pores,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Adsorbed due to reduced hydrophobicity from polar ligand functionalities,,,,,,,,
ZIF-69,2-hydroxyacetophenone,Yes,"Larger than ZIF-8, specific size not reported",Not Reported,MOFs,Large pore size enables adsorption of bulkier molecules compared to ZIF-8,Not Reported,Molecular sieving with large pore aperture,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Adsorbed due to expanded pore size,,,,,,,,
ZIF-69,dimethyl isosorbide,Yes,"Larger than ZIF-8, specific size not reported",Not Reported,MOFs,Large pore size enables adsorption of bulkier molecules compared to ZIF-8,Not Reported,Molecular sieving with large pore aperture,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Adsorbed due to expanded pore size,,,,,,,,
ZIF-69,15-crown-5,Yes,"Larger than ZIF-8, specific size not reported",Not Reported,MOFs,Large pore size enables adsorption of bulkier molecules compared to ZIF-8,Not Reported,Molecular sieving with large pore aperture,10.1021-acsmaterialsau.3c00094.json,Not Reported,Not Applicable,Adsorbed despite being sterically bulky,,,,,,,,
ZIF-68,helium,Yes,"7.5 Å (pore), 10.3 Å (cage)",1D channels,MOF membrane,Size exclusion at sub-nanometer scale,Not Reported,Knudsen diffusion,10.1016-j.micromeso.2014.10.050_1747626303413358_kasik2015.json,"Room temperature, transmembrane pressure drop",Not Applicable,Permeance: 26 x 10^-8 mol/m² s Pa,,,,,,,,
ZIF-68,nitrogen,Yes,"7.5 Å (pore), 10.3 Å (cage)",1D channels,MOF membrane,Size exclusion at sub-nanometer scale,0.364 nm,Knudsen diffusion,10.1016-j.micromeso.2014.10.050_1747626303413358_kasik2015.json,"Room temperature, transmembrane pressure drop",Not Applicable,Permeance: 9 x 10^-8 mol/m² s Pa,,,,,,,,
ZIF-68,carbon dioxide,Yes,"7.5 Å (pore), 10.3 Å (cage)",1D channels,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,Preferential adsorption in microporous materials,10.1016-j.micromeso.2014.10.050_1747626303413358_kasik2015.json,"Room temperature, transmembrane pressure drop",Not Applicable,Higher-than-predicted permeance due to preferential loading sites,,,,,,,,
ZIF-68,p-xylene,Conditional (see Additional Info),"7.5 Å (pore), 10.3 Å (cage)",1D channels,MOF membrane,Size exclusion at sub-nanometer scale,Not Reported,Chemisorption-induced fouling,10.1016-j.micromeso.2014.10.050_1747626303413358_kasik2015.json,"Room temperature, pervaporation",Not Applicable,"Initial flux: 4.4 x 10^-3 mol/m² s; Flux decreased by 55% after 4 hours due to fouling, then stabilized",,,,,,,,
ZIF-67-in-TpPa-1,hydrogen,Yes,0.29-0.5 nm (experimental pore-size distribution),1D channels,MOF membrane,Size exclusion at sub-nanometer scale,0.289 nm,Kinetic sieving,10.1038-s41467-020-20298-7_1747623493848555_fan2021.json,"298 K, 1 bar",Not Applicable,H2 permeance of ~3800 GPU,,,,,,,,
ZIF-67-in-TpPa-1,carbon dioxide,No,0.29-0.5 nm (experimental pore-size distribution),1D channels,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1038-s41467-020-20298-7_1747623493848555_fan2021.json,"298 K, 1 bar",Not Applicable,H2/CO2 separation factor of 34.9,,,,,,,,
ZIF-67-in-TpPa-1,methane,No,0.29-0.5 nm (experimental pore-size distribution),1D channels,MOF membrane,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion,10.1038-s41467-020-20298-7_1747623493848555_fan2021.json,"298 K, 1 bar",Not Applicable,H2/CH4 separation factor of 33.3,,,,,,,,
ZIF-67-in-TpPa-1,propylene,No,0.29-0.5 nm (experimental pore-size distribution),1D channels,MOF membrane,Size exclusion at sub-nanometer scale,0.46 nm,Size exclusion,10.1038-s41467-020-20298-7_1747623493848555_fan2021.json,"298 K, 1 bar",Not Applicable,H2/C3H6 separation factor of 110.5,,,,,,,,
ZIF-67-in-TpPa-1,propane,No,0.29-0.5 nm (experimental pore-size distribution),1D channels,MOF membrane,Size exclusion at sub-nanometer scale,0.43 nm,Size exclusion,10.1038-s41467-020-20298-7_1747623493848555_fan2021.json,"298 K, 1 bar",Not Applicable,H2/C3H8 separation factor of 192.7,,,,,,,,
ZIF-67-in-TpBD,hydrogen,Yes,Not Reported,1D channels,MOF membrane,Size exclusion at sub-nanometer scale,0.289 nm,Kinetic sieving,10.1038-s41467-020-20298-7_1747623493848555_fan2021.json,"298 K, 1 bar",Not Applicable,Not explicitly reported but implied high H2 permeance,,,,,,,,
ZIF-67-in-TpBD,carbon dioxide,No,Not Reported,1D channels,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1038-s41467-020-20298-7_1747623493848555_fan2021.json,"298 K, 1 bar",Not Applicable,H2/CO2 separation factor of 27.9,,,,,,,,
ZIF-67-in-TAPB-BPDA-PAN,helium,Yes,"0.78 nm (major pore size distribution), 3.9 nm (initial COF pore size)",Ultramicropore-in-nanopore structure,MOF composite,Size exclusion at sub-nanometer scale within ultramicropores of ZIF-67 embedded in the nanopores of TAPB-BPDA,Not Reported,Size exclusion at sub-nanometer scale,10.1016_j.seppur.2025.132782.json,"Equimolar He/N2 and He/CH4 mixtures, 50 mL min-1 total inlet flow rate, 1 bar pressure",Not Applicable,Helium permeance reached 1500 GPU with selectivities of 3.89 for He/N2 and 5.38 for He/CH4.,,,,,,,,
ZIF-67-in-TAPB-BPDA-PAN,nitrogen,No,"0.78 nm (major pore size distribution), 3.9 nm (initial COF pore size)",Ultramicropore-in-nanopore structure,MOF composite,Size exclusion at sub-nanometer scale within ultramicropores of ZIF-67 embedded in the nanopores of TAPB-BPDA,Not Reported,Size exclusion at sub-nanometer scale,10.1016_j.seppur.2025.132782.json,"Equimolar He/N2 mixture, 50 mL min-1 total inlet flow rate, 1 bar pressure",Not Applicable,Nitrogen permeance was 392 GPU with a selectivity of 3.89 for He/N2.,,,,,,,,
ZIF-67-in-TAPB-BPDA-PAN,methane,No,"0.78 nm (major pore size distribution), 3.9 nm (initial COF pore size)",Ultramicropore-in-nanopore structure,MOF composite,Size exclusion at sub-nanometer scale within ultramicropores of ZIF-67 embedded in the nanopores of TAPB-BPDA,Not Reported,Size exclusion at sub-nanometer scale,10.1016_j.seppur.2025.132782.json,"Equimolar He/CH4 mixture, 50 mL min-1 total inlet flow rate, 1 bar pressure",Not Applicable,Methane permeance was 291 GPU with a selectivity of 5.38 for He/CH4.,,,,,,,,
ZIF-67-in-PBD,hydrogen,Yes,0.3-0.6 nm (most probable pore size: 0.5 nm),Microporous,MOF composite,Size exclusion at sub-nanometer scale with additional contribution from adsorption selectivity.,0.289 nm,Size screening,10.1021-acs.langmuir.4c01368.json,"25 °C, 1 bar",Not Applicable,Adsorption capacity: 0.28 cm³/g,,,,,,,,
ZIF-67-in-PBD,methane,No,0.3-0.6 nm (most probable pore size: 0.5 nm),Microporous,MOF composite,Size exclusion at sub-nanometer scale with additional contribution from adsorption selectivity.,0.38 nm,Size screening,10.1021-acs.langmuir.4c01368.json,"25 °C, 1 bar",Not Applicable,Adsorption capacity: 2.05 cm³/g; Preferential adsorption in pores leads to crowding effects and enhances size exclusion.,,,,,,,,
ZIF-67-alginate composite,carbon dioxide,Not Reported,Not Reported,Not Reported,MOF composite,Not Reported,0.33 nm,Not Reported,10.1021-acsami.6b04505_1747625059921922_zhu2016.json,Not Reported,Not Applicable,The composite showed high surface area (317 m²/g).,,,,,,,,
ZIF-67@TB-COF,hydrogen,Yes,"2.7 nm (TB-COF), Not Reported (ZIF-67 unit cell)",1D channels,MOF composite,Size exclusion at sub-nanometer scale,0.29 nm,Size exclusion,10.1002-anie.202419946.json,"100 °C, 200 kPa",Not Applicable,H2 permeance: >1.5×10^-7 mol·m^-2·s^-1·Pa^-1,,,,,,,,
ZIF-67@TB-COF,carbon dioxide,Conditional (see Additional Info),"2.7 nm (TB-COF), Not Reported (ZIF-67 unit cell)",1D channels,MOF composite,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1002-anie.202419946.json,"100 °C, 200 kPa",Not Applicable,H2/CO2 selectivity: 35.7,,,,,,,,
ZIF-67@TB-COF,methane,Conditional (see Additional Info),"2.7 nm (TB-COF), Not Reported (ZIF-67 unit cell)",1D channels,MOF composite,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion,10.1002-anie.202419946.json,"100 °C, 200 kPa",Not Applicable,H2/CH4 selectivity: 75.1,,,,,,,,
ZIF-67@TB-COF,propane,No,"2.7 nm (TB-COF), Not Reported (ZIF-67 unit cell)",1D channels,MOF composite,Size exclusion at sub-nanometer scale,0.43 nm,Size exclusion,10.1002-anie.202419946.json,"100 °C, 200 kPa",Not Applicable,H2/C3H8 selectivity: 139.4,,,,,,,,
ZIF-67@NH2eSiO2,hydrogen,Yes,"3.3 Å, 11.4 Å",Not Reported,MOF composite,Combination of kinetic quantum sieving (KQS) and chemical affinity quantum sieving (CAQS),0.289 nm,Kinetic quantum sieving,10.1016-j.ijhydene.2021.01.153_1747625028558346_chen2021.json,"77 K, He carrier gas at 20 mL/min",Not Applicable,"Separation resolution R = 1.52, separation time t = 10.15 min.",,,,,,,,
ZIF-67@NH2eSiO2,deuterium,Yes,"3.3 Å, 11.4 Å",Not Reported,MOF composite,Combination of kinetic quantum sieving (KQS) and chemical affinity quantum sieving (CAQS),0.296 nm,Chemical affinity quantum sieving,10.1016-j.ijhydene.2021.01.153_1747625028558346_chen2021.json,"77 K, He carrier gas at 20 mL/min",Not Applicable,"Separation resolution R = 1.52, separation time t = 10.15 min.",,,,,,,,
ZIF-67/GO,hydrogen,Yes,3.4 Å,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,0.289 nm,Size exclusion,10.1039-c8qm00351c_1747626137484666_10.1039@c8qm00351c.json,"25 °C, 1 bar",Not Applicable,H2 permeance of 5922 ± 1000 GPU.,,,,,,,,
ZIF-67/GO,carbon dioxide,No,3.4 Å,Not Reported,MOF composite,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1039-c8qm00351c_1747626137484666_10.1039@c8qm00351c.json,"25 °C, 1 bar",Not Applicable,Strong interaction between CO2 and membrane hinders its passage.,,,,,,,,
ZIF-67/G nanosheets,lithium polysulfide,No,0.34 nm,3D cages,MOF composite,Size exclusion at sub-nanometer scale,> 0.80 nm,Size exclusion,10.1021-acsnano.0c06221_1747623978674827_10.1021@acsnano.0c06221.json,"298 K, 1 bar",Not Applicable,The ZIF-67/G nanosheet membrane reduces the polysulfide flux by 524 times compared to standard battery separators.,,,,,,,,
ZIF-67/G nanosheets,lithium ion,Yes,0.34 nm,3D cages,MOF composite,Size exclusion at sub-nanometer scale,0.18 nm,Size exclusion,10.1021-acsnano.0c06221_1747623978674827_10.1021@acsnano.0c06221.json,"298 K, 1 bar",Not Applicable,The Li-ion diffusion coefficient in Li-S batteries with the MOF/G nanosheet-based membranes is comparable to that of batteries with a bare PP separator.,,,,,,,,
ZIF-67 SSCM,hydrogen,Yes,Not Reported,Not Reported,MOF composite,Not Reported,0.289 nm,Size exclusion,10.1002-anie.202117577.json,Not Reported,Not Applicable,High H2/CO2 separation performance,,,,,,,,
ZIF-67 SSCM,carbon dioxide,No,Not Reported,Not Reported,MOF composite,Not Reported,0.33 nm,Size exclusion,10.1002-anie.202117577.json,Not Reported,Not Applicable,Not explicitly mentioned but implied by context,,,,,,,,
ZIF-67 Membranes,hydrogen,Yes,0.34 nm,Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.289 nm,Size exclusion,10.1021-acs.iecr.9b06031_1747625938468287_zhou2020.json,"25 °C, 1 bar",Not Applicable,H2 permeance: 14.8 × 10^-7 mol s^-1 m^-2 Pa^-1,,,,,,,,
ZIF-67 Membranes,carbon dioxide,No,0.34 nm,Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.33 nm,Size exclusion,10.1021-acs.iecr.9b06031_1747625938468287_zhou2020.json,"25 °C, 1 bar",Not Applicable,CO2 permeance: 0.89 × 10^-7 mol s^-1 m^-2 Pa^-1; Ideal separation factor H2/CO2: 16.8,,,,,,,,
ZIF-67 Membranes,nitrogen,No,0.34 nm,Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.364 nm,Size exclusion,10.1021-acs.iecr.9b06031_1747625938468287_zhou2020.json,"25 °C, 1 bar",Not Applicable,N2 permeance not explicitly reported; Ideal separation factor H2/N2: 16.5,,,,,,,,
ZIF-67 Membranes,methane,No,0.34 nm,Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion,10.1021-acs.iecr.9b06031_1747625938468287_zhou2020.json,"25 °C, 1 bar",Not Applicable,CH4 permeance not explicitly reported; Ideal separation factor H2/CH4: 18.0,,,,,,,,
ZIF-67,hydrogen,Yes,Not Reported,Not Reported,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Kinetic sieving,10.1002-adfm.202306202.json,Not Reported,Not Applicable,ZIF-67 membranes allow the passage of hydrogen.,,,,,,,,
ZIF-67,carbon dioxide,No,Not Reported,Not Reported,MOFs,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion,10.1002-adfm.202306202.json,Not Reported,Not Applicable,Carbon dioxide faces size exclusion in ZIF-67 membranes due to its larger molecular size.,,,,,,,,
ZIF-67,lithium ion solvated with DME (Li(DME)4+),Yes,Smaller than NH2-MIL-125,Not Reported,MOFs,Size exclusion via smaller pore morphology.,Not Reported,Physical pore sieving,10.1002-adma.202411601.json,Room temperature and low-temperature environments,Not Applicable,Better sieving effect than MIL-125 but less efficient than NH2-MIL-125.,,,,,,,,
ZIF-67,formaldehyde,Yes,Not Reported,Not Reported,MOFs,Not Reported,Not Reported,Size exclusion,10.1002-advs.202104374.json,150 °C,Not Applicable,ZIF-67 based sensor showed selective and linear detection toward formaldehyde in the range of 5�?00 ppm.,,,,,,,,
ZIF-67,methanol,Yes,"4.0�?.2 Å (actual sieving pore size), 3.4 Å (crystallographic pore size)",Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,0.38 nm,Size exclusion at sub-nanometer scale,10.1002-anie.202300262.json,"30 °C, pervaporation",Not Applicable,Preferential adsorption and diffusion due to polarity.,,,,,,,,
ZIF-67,dimethyl carbonate,No,"4.0�?.2 Å (actual sieving pore size), 3.4 Å (crystallographic pore size)",Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion at sub-nanometer scale,10.1002-anie.202300262.json,"30 °C, pervaporation",Not Applicable,Steric hindrance prevents permeation.,,,,,,,,
ZIF-67,tetrahydrofuran,No,"4.0�?.2 Å (actual sieving pore size), 3.4 Å (crystallographic pore size)",Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion at sub-nanometer scale,10.1002-anie.202300262.json,"30 °C, pervaporation",Not Applicable,Steric hindrance prevents permeation.,,,,,,,,
ZIF-67,toluene,No,"4.0�?.2 Å (actual sieving pore size), 3.4 Å (crystallographic pore size)",Not Reported,MOF membrane,Size exclusion at sub-nanometer scale,Not Reported,Size exclusion at sub-nanometer scale,10.1002-anie.202300262.json,"30 °C, pervaporation",Not Applicable,Higher free energy barrier for transport compared to methanol.,,,,,,,,
